schema_name,object_name,object_kind,row_security,owner_name
audit,action_log,TABLE,false,suleia_admin
audit,application_events,TABLE,false,suleia_admin
audit,data_access_log,TABLE,false,suleia_admin
audit,masking_log,TABLE,false,suleia_admin
audit,security_events,TABLE,false,suleia_admin
audit,sync_runs,TABLE,false,suleia_admin
configuration,feature_flags,TABLE,false,suleia_admin
configuration,freshness_thresholds,TABLE,false,suleia_admin
configuration,policies,TABLE,false,suleia_admin
configuration,policy_assignments,TABLE,false,suleia_admin
configuration,policy_versions,TABLE,false,suleia_admin
configuration,system_settings,TABLE,false,suleia_admin
core,conversations,TABLE,false,suleia_admin
core,customer_aliases,TABLE,false,suleia_admin
core,customers_masked,TABLE,false,suleia_admin
core,incident_history,TABLE,false,suleia_admin
core,incidents,TABLE,false,suleia_admin
core,messages,TABLE,false,suleia_admin
core,order_digital_twins,TABLE,false,suleia_admin
core,order_snapshots,TABLE,false,suleia_admin
core,order_source_links,TABLE,false,suleia_admin
core,orders,TABLE,false,suleia_admin
core,source_freshness,TABLE,false,suleia_admin
core,timers,TABLE,false,suleia_admin
decision_memory,records,TABLE,false,suleia_admin
decisions,agent_proposals,TABLE,false,suleia_admin
decisions,ai_review_queue,TABLE,false,suleia_admin
decisions,alternatives,TABLE,false,suleia_admin
decisions,confidence_breakdowns,TABLE,false,suleia_admin
decisions,decision_alternatives,TABLE,false,suleia_admin
decisions,decision_evidence,TABLE,false,suleia_admin
decisions,decision_records,TABLE,false,suleia_admin
decisions,decisions,TABLE,false,suleia_admin
decisions,evidence,TABLE,false,suleia_admin
decisions,human_review_queue,TABLE,false,suleia_admin
decisions,qa_results,TABLE,false,suleia_admin
decisions,review_records,TABLE,false,suleia_admin
decisions,simulation_comparisons,TABLE,false,suleia_admin
decisions,simulation_runs,TABLE,false,suleia_admin
economics,observations,TABLE,false,suleia_admin
enterprise_graph,entities,TABLE,false,suleia_admin
enterprise_graph,relationships,TABLE,false,suleia_admin
enterprise_twins,snapshots,TABLE,false,suleia_admin
events,event_corrections,TABLE,false,suleia_admin
events,event_deduplication,TABLE,false,suleia_admin
events,event_snapshots,TABLE,false,suleia_admin
events,order_events,TABLE,false,suleia_admin
events,replay_runs,TABLE,false,suleia_admin
integration,carrier_issue_code_registry,TABLE,false,suleia_admin
integration,dropea_issues,TABLE,false,suleia_admin
integration,dropea_orders,TABLE,false,suleia_admin
integration,dropea_store_config,TABLE,false,suleia_admin
integration,dropea_sync_checkpoints,TABLE,false,suleia_admin
integration,dropea_webhook_events,TABLE,false,suleia_admin
knowledge,facts,TABLE,false,suleia_admin
mcp,active_timers,VIEW,false,suleia_admin
mcp,agent_decisions,VIEW,false,suleia_admin
mcp,call_audit,TABLE,false,suleia_admin
mcp,clients,TABLE,false,suleia_admin
mcp,data_freshness,VIEW,false,suleia_admin
mcp,order_timeline,VIEW,false,suleia_admin
mcp,orders_read,VIEW,false,suleia_admin
mcp,orders_requiring_review,VIEW,false,suleia_admin
mcp,scopes,TABLE,false,suleia_admin
mcp,security_events,TABLE,false,suleia_admin
mcp,tool_executions,TABLE,false,suleia_admin
migration,batches,TABLE,false,suleia_admin
migration,checkpoints,TABLE,false,suleia_admin
migration,rejections,TABLE,false,suleia_admin
migration,source_inventory,TABLE,false,suleia_admin
operations,active_customer_product_guard,TABLE,false,suleia_admin
operations,chatby_contact_lifecycle,TABLE,false,suleia_admin
operations,chatby_conversation_events,TABLE,false,suleia_admin
operations,chatby_conversation_links,TABLE,false,suleia_admin
operations,dead_letter_queue,TABLE,false,suleia_admin
operations,idempotency_keys,TABLE,false,suleia_admin
operations,incident_discount_workflow,TABLE,false,suleia_admin
operations,incident_intent_timeline,TABLE,false,suleia_admin
operations,incident_simulation_decisions,TABLE,false,suleia_admin
operations,incident_timers,TABLE,false,suleia_admin
operations,job_runs,TABLE,false,suleia_admin
operations,jobs,TABLE,false,suleia_admin
operations,order_duplicate_assessments,TABLE,false,suleia_admin
operations,reconciliation_results,TABLE,false,suleia_admin
operations,releasit_configuration_snapshots,TABLE,false,suleia_admin
operations,releasit_phone_block_events,TABLE,false,suleia_admin
operations,system_locks,TABLE,false,suleia_admin
process_intelligence,observations,TABLE,false,suleia_admin
raw,ingestion_batches,TABLE,false,suleia_admin
raw,ingestion_errors,TABLE,false,suleia_admin
raw,ingestion_records,TABLE,false,suleia_admin
raw,source_records,TABLE,false,suleia_admin
raw_private,source_records,TABLE,false,suleia_admin
read_models,customer_operational_history,VIEW,false,suleia_admin
read_models,integration_carrier_issue_code_registry,VIEW,false,suleia_admin
read_models,integration_dropea_issues,VIEW,false,suleia_admin
read_models,integration_dropea_orders,VIEW,false,suleia_admin
read_models,integration_dropea_sync_checkpoints,VIEW,false,suleia_admin
read_models,integration_dropea_webhook_events,VIEW,false,suleia_admin
read_models,issue_state_history,VIEW,false,suleia_admin
read_models,migration_summary,VIEW,false,suleia_admin
read_models,operational_truth_summary,VIEW,false,suleia_admin
read_models,operations_chatby_conversation_coverage,VIEW,false,suleia_admin
read_models,operations_connector_health,TABLE,false,suleia_admin
read_models,operations_conversation_summaries,TABLE,false,suleia_admin
read_models,operations_data_freshness,VIEW,false,suleia_admin
read_models,operations_data_quality,VIEW,false,suleia_admin
read_models,operations_decision_cards,TABLE,false,suleia_admin
read_models,operations_discount_workflows,TABLE,false,suleia_admin
read_models,operations_incident_context,VIEW,false,suleia_admin
read_models,operations_incident_detail,VIEW,false,suleia_admin
read_models,operations_incident_handbook_detail,VIEW,false,suleia_admin
read_models,operations_incident_interpretations,TABLE,false,suleia_admin
read_models,operations_incident_records,TABLE,false,suleia_admin
read_models,operations_incidents_queue,VIEW,false,suleia_admin
read_models,operations_incidents_summary,VIEW,false,suleia_admin
read_models,operations_order_context,VIEW,false,suleia_admin
read_models,operations_order_detail,VIEW,false,suleia_admin
read_models,operations_order_records,TABLE,false,suleia_admin
read_models,operations_order_timeline,VIEW,false,suleia_admin
read_models,operations_orders_queue,VIEW,false,suleia_admin
read_models,operations_orders_summary,VIEW,false,suleia_admin
read_models,operations_protection_events,VIEW,false,suleia_admin
read_models,operations_protection_summary,VIEW,false,suleia_admin
read_models,operations_review_queue,VIEW,false,suleia_admin
read_models,operations_timeline_records,TABLE,false,suleia_admin
read_models,order_identity_map,VIEW,false,suleia_admin
read_models,order_state_history,VIEW,false,suleia_admin
read_models,reconciliation_findings,VIEW,false,suleia_admin
reconciliation,ledger,TABLE,false,suleia_admin
truth,snapshots,TABLE,false,suleia_admin
